BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
0.00,0.97,36.83,0.00,0.00,1.96,0.00,0.44,1.01,0.40,0.00,3.60,0.00,0.05,1.25,0.06,0.05,1.54,0.08,0.00
0.00,0.96,30.84,0.00,0.00,2.00,0.00,0.43,1.01,0.40,0.00,2.60,0.00,0.05,1.34,0.06,0.05,1.57,0.08,0.00
0.00,0.96,29.88,0.00,0.00,1.00,0.00,0.43,1.00,0.39,0.00,0.96,0.00,0.05,1.47,0.07,0.05,2.00,0.10,0.00
0.00,0.95,27.43,0.00,0.00,1.00,0.00,0.42,1.00,0.39,0.00,0.92,0.00,0.05,1.51,0.07,0.05,1.53,0.08,0.00
0.00,0.94,33.24,0.00,0.00,1.00,0.00,0.42,1.00,0.38,0.00,0.92,0.00,0.05,1.49,0.07,0.05,1.25,0.06,0.00
0.00,0.93,32.53,0.00,0.00,1.00,0.00,0.41,1.00,0.38,0.00,0.92,0.00,0.05,1.47,0.07,0.05,1.25,0.06,0.00
0.40,0.92,31.90,11.86,0.00,1.00,0.00,0.41,1.00,0.38,0.00,1.23,0.00,0.05,1.50,0.07,0.05,1.25,0.06,0.00
0.00,0.10,26.55,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.11,0.00,0.05,1.50,0.07,0.05,1.48,0.07,0.00
0.00,0.10,27.18,0.00,0.00,1.01,0.00,0.00,1.01,0.00,0.00,1.15,0.00,0.05,2.00,0.09,0.05,1.48,0.07,0.00
0.00,0.10,25.11,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.25,0.00,0.05,2.89,0.13,0.05,2.00,0.10,0.00
0.00,0.10,22.45,0.00,0.00,2.86,0.00,0.00,1.86,0.00,0.00,2.72,0.00,0.05,2.99,0.14,0.05,2.64,0.13,0.00
0.00,0.10,21.71,0.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,2.72,0.00,0.05,2.33,0.11,0.05,2.49,0.12,0.00
0.00,0.10,18.60,0.00,0.00,7.46,0.00,0.00,2.00,0.00,0.00,2.25,0.00,0.05,2.33,0.11,0.05,5.41,0.27,0.00
0.00,0.10,14.51,0.00,0.00,6.80,0.00,0.00,2.00,0.00,0.00,2.25,0.00,0.05,3.80,0.17,0.05,2.50,0.12,0.00
0.00,0.10,10.14,0.00,0.00,2.60,0.00,0.00,1.60,0.00,0.00,1.23,0.00,0.05,2.45,0.11,0.05,2.36,0.12,0.00
-0.00,0.10,4.87,-0.00,0.00,2.00,0.00,0.00,1.50,0.00,0.00,1.17,0.00,0.05,2.00,0.09,0.05,1.98,0.10,0.00
-0.00,0.10,1.98,-0.00,0.00,1.96,0.00,0.00,1.50,0.00,0.00,1.17,0.00,0.05,2.51,0.12,0.05,1.98,0.10,0.00
-0.49,0.10,-0.07,0.03,0.00,1.50,0.00,0.00,1.50,0.00,0.00,1.17,0.00,0.05,2.89,0.13,0.05,1.57,0.08,0.00
