BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
0.00,0.17,-38.00,-0.00,0.00,0.00,0.00,-0.00,1.04,-0.00,0.00,0.00,0.00,0.50,0.98,0.45,0.50,19.95,9.97,0.50,6.75,3.11,0.50,7.32,3.66,0.00,0.58,0.00,-0.00,5.31,-0.00,0.00
0.00,0.16,-13.10,-0.00,0.00,0.00,0.00,0.00,1.57,0.00,0.00,0.00,0.00,0.50,1.30,0.59,0.50,8.96,4.48,0.50,6.10,2.81,0.50,5.49,2.75,0.00,0.53,0.00,-0.00,4.89,-0.00,0.00
0.00,0.16,-32.13,-0.00,0.00,0.00,0.00,0.50,1.39,0.64,0.00,0.00,0.00,0.00,0.70,0.00,0.50,11.19,5.59,0.50,4.88,2.25,0.50,18.39,9.20,-0.00,0.45,-0.00,-0.00,2.99,-0.00,0.00
0.00,0.19,-35.10,-0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.47,0.56,0.24,0.50,20.47,10.23,0.50,5.84,2.69,0.50,48.67,24.33,0.03,0.40,0.01,-0.00,13.46,-0.00,0.00
0.00,0.18,-38.19,-0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.50,0.82,0.38,0.50,26.64,13.32,0.50,5.00,2.30,0.50,50.76,25.38,-0.00,0.39,-0.00,-0.00,18.33,-0.00,0.00
0.00,0.18,-46.64,-0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.00,0.00,0.50,0.65,0.30,0.50,29.91,14.96,0.50,8.13,3.75,0.50,56.90,28.45,0.00,0.39,0.00,-0.00,19.95,-0.00,0.00
0.00,0.17,-53.47,-0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,-0.00,0.58,-0.00,0.50,26.01,13.00,0.50,11.15,5.14,0.50,57.98,28.99,0.00,0.39,0.00,-0.00,19.98,-0.00,0.00
0.00,0.20,-55.05,-0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.50,0.00,0.50,27.38,13.69,0.50,8.35,3.85,0.50,59.13,29.56,0.00,0.39,0.00,-0.00,19.98,-0.00,0.00
0.00,0.24,-56.85,-0.00,0.00,0.00,0.00,0.50,0.44,0.20,0.00,0.00,0.00,0.00,0.56,0.00,0.50,24.37,12.19,0.50,10.51,4.85,0.50,53.35,26.68,0.00,0.39,0.00,0.00,19.98,0.00,0.00
0.00,0.27,-57.14,-0.00,0.00,0.00,0.00,0.50,0.79,0.37,0.00,0.00,0.00,0.00,0.55,0.00,0.50,26.27,13.14,0.50,15.77,7.27,0.50,52.10,26.05,0.00,0.39,0.00,0.00,19.97,0.00,0.00
