BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
-0.01,1.00,46.21,-0.31,0.00,0.15,0.00,0.43,2.11,0.84,0.25,5.00,1.25,0.25,3.99,0.92,0.00
-0.01,1.00,46.11,-0.31,0.00,0.15,0.00,0.43,3.00,1.19,0.25,5.00,1.25,0.25,3.99,0.92,0.00
-0.01,1.00,46.25,-0.31,0.00,0.15,0.00,0.43,3.00,1.19,0.25,5.00,1.25,0.25,3.99,0.92,0.00
0.00,1.00,47.68,0.00,0.00,0.15,0.00,0.50,3.00,1.38,0.25,3.33,0.83,0.18,3.68,0.61,0.00
0.00,1.00,56.13,0.00,0.00,0.15,0.00,0.43,2.91,1.15,0.25,3.00,0.75,0.25,4.00,0.92,0.00
0.04,0.99,72.55,2.69,0.00,0.15,0.00,0.42,5.00,1.96,0.25,3.53,0.88,0.25,5.09,1.17,0.00
0.37,0.89,73.76,25.31,0.00,0.15,0.00,0.38,5.00,1.74,0.25,3.99,1.00,0.25,10.23,2.36,0.00
0.00,0.14,54.40,0.00,0.00,0.15,0.00,0.00,2.91,0.00,0.25,4.28,1.07,0.25,5.28,1.22,0.00
0.00,0.14,47.48,0.00,0.00,0.15,0.00,0.00,2.65,0.00,0.25,6.00,1.50,0.25,4.02,0.92,0.00
0.00,0.13,38.82,0.00,0.00,0.15,0.00,0.00,3.30,0.00,0.25,6.00,1.50,0.25,6.42,1.46,0.00
-0.47,0.13,34.61,-16.41,0.00,0.15,0.00,0.00,1.75,0.00,0.25,16.73,4.18,0.24,3.61,0.81,0.00
-0.01,1.00,34.08,-0.23,0.00,0.15,0.00,0.43,1.00,0.40,0.25,8.38,2.09,0.25,4.94,1.14,0.00
-0.01,1.00,34.15,-0.23,0.00,0.15,0.00,0.43,1.07,0.42,0.25,7.31,1.83,0.25,2.94,0.68,0.00
-0.01,1.00,37.39,-0.25,0.00,0.15,0.00,0.43,3.13,1.24,0.25,14.20,3.55,0.25,5.00,1.15,0.00
