BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,spinCapacity,spinPrice_$perMW,spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,CapacityObligation
0.79,0.49,101.20,73.15,0.16,1.00,0.15,0.05,9.11,0.45,0.00,1.00,0.00,0.05,2.43,0.11,0.00
0.00,0.10,53.96,0.00,0.00,1.00,0.00,0.05,8.03,0.40,0.00,1.00,0.00,0.05,2.07,0.09,0.00
0.00,0.10,42.60,0.00,0.00,0.35,0.00,0.05,7.01,0.35,0.00,0.35,0.00,0.05,1.41,0.06,0.00
-0.00,0.10,35.16,-0.04,0.00,1.00,0.00,0.05,7.21,0.36,0.00,1.00,0.00,0.05,1.43,0.06,0.00
0.00,0.10,35.78,0.00,0.00,0.54,0.00,0.05,7.51,0.37,0.00,0.54,0.00,0.05,0.87,0.04,0.00
-0.95,0.10,32.39,-30.69,0.00,0.14,0.00,0.05,8.39,0.42,0.00,0.14,0.00,0.05,0.46,0.02,0.00
-0.95,0.54,30.41,-28.81,0.00,0.14,0.00,0.05,8.22,0.41,0.50,0.14,0.06,0.05,0.34,0.02,0.00
-0.07,0.97,33.09,-2.29,0.31,0.14,0.04,0.05,8.58,0.43,0.50,0.14,0.06,0.05,0.34,0.02,0.00
-0.01,1.00,60.15,-0.33,0.00,0.14,0.00,0.05,10.00,0.50,0.50,0.14,0.06,0.05,0.71,0.03,0.00
0.00,1.00,100.78,0.00,0.32,1.00,0.30,0.05,9.47,0.47,0.50,1.00,0.46,0.05,1.56,0.07,0.00
0.13,0.99,103.56,12.20,0.32,1.86,0.55,0.05,10.00,0.50,0.50,1.86,0.86,0.05,1.90,0.09,0.00
0.78,0.92,103.23,73.91,0.17,1.00,0.16,0.05,7.99,0.40,0.00,1.00,0.00,0.05,2.10,0.10,0.00
